Laptop,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory,GPU_Company,GPU_Type,OpSys,Weight (kg)
318,4,12.5,3,1,62,2.7,8,16,2,52,5,1.3
250,3,15.6,14,1,66,2.8,32,12,3,14,5,2.1
534,1,17.3,3,1,66,2.8,8,18,3,15,5,2.7
596,3,15.6,3,1,46,2.5,8,16,2,52,5,2.0
129,3,14.0,3,1,62,2.7,8,18,2,52,5,2.0
492,3,15.6,3,1,36,2.0,4,10,2,46,5,1.8
72,1,15.6,3,1,66,2.8,8,16,3,14,5,2.5
313,3,14.0,3,1,48,2.6,8,16,2,52,5,1.5
213,4,15.6,3,1,53,1.6,8,5,3,11,5,1.9
320,3,15.6,3,1,46,2.5,8,16,2,52,5,1.8
147,3,15.6,0,1,22,1.1,4,10,2,42,2,2.0
213,3,15.6,3,1,53,1.6,8,16,3,11,5,2.0
194,3,15.6,0,1,21,1.6,4,26,2,39,2,2.2
399,3,15.6,3,0,4,3.6,12,22,0,74,5,2.2
351,3,15.6,3,1,38,2.4,8,10,3,9,5,2.1
517,0,13.9,14,1,70,1.8,16,29,2,105,5,1.4
249,4,13.3,3,1,70,1.8,8,16,2,105,5,1.2
429,1,15.6,3,1,66,2.8,16,20,3,15,5,2.4
369,3,14.0,0,1,21,1.6,2,23,2,40,5,1.4
228,4,15.6,3,1,71,1.9,16,32,2,105,5,1.9
133,0,11.6,0,1,22,1.1,4,23,2,42,5,1.5
203,4,15.6,3,1,53,1.6,8,10,0,74,5,1.9
250,3,15.6,14,1,66,2.8,16,29,3,14,5,2.1
320,3,15.6,3,1,62,2.7,8,16,2,52,5,1.8
541,1,17.3,3,1,66,2.8,8,5,3,18,5,2.7
375,5,15.6,3,1,66,2.8,8,16,3,62,5,2.6
602,3,15.6,3,1,55,2.5,16,29,3,8,5,2.4
203,3,15.6,3,1,70,1.8,8,6,0,74,5,2.0
401,3,15.6,0,1,22,1.1,4,10,2,42,4,2.2
214,1,15.6,3,1,47,2.5,8,10,3,14,5,2.6
195,3,15.6,0,1,46,2.5,8,22,2,52,5,2.4
231,3,14.0,3,1,48,2.6,8,16,2,52,5,1.4
304,3,15.6,0,1,36,2.0,4,26,2,46,5,1.9
183,3,14.0,3,1,46,2.5,8,16,2,52,5,2.0
405,3,17.3,2,1,46,2.5,6,5,3,24,5,2.8
304,3,15.6,3,1,46,2.5,8,10,2,52,5,1.9
404,3,15.6,0,1,36,2.0,8,16,3,7,4,2.2
257,3,15.6,0,1,86,1.6,8,22,2,41,5,2.0
208,3,17.3,3,1,53,1.6,8,5,0,74,5,2.8
429,1,15.6,3,1,47,2.5,8,5,3,14,4,2.4
201,3,15.6,3,1,62,2.7,8,16,0,97,5,2.3
317,4,14.0,3,1,62,2.7,8,16,2,52,5,1.4
168,0,15.6,3,1,62,2.7,12,33,3,13,5,2.3
2,3,15.6,0,0,11,3.0,4,4,0,84,5,2.1
124,1,17.3,3,0,89,3.0,16,18,0,104,5,3.2
392,3,17.3,2,0,9,2.2,4,4,0,84,5,2.6
200,0,13.3,3,1,70,1.8,8,16,2,105,5,1.6
285,3,15.6,3,0,11,3.0,4,16,0,84,5,1.9
504,2,11.6,0,1,24,1.1,4,4,2,42,5,1.6
194,3,15.6,0,1,21,1.6,4,26,2,40,5,1.8
132,3,14.0,0,1,22,1.1,4,23,2,42,5,1.5
4,3,15.6,3,1,66,2.8,8,10,3,14,2,2.4
340,1,17.3,3,1,66,2.8,8,5,3,14,5,3.4
491,3,15.6,3,1,36,2.0,4,4,2,46,4,1.8
101,1,15.6,3,1,66,2.8,8,5,3,18,5,2.3
416,3,14.0,3,1,46,2.5,8,16,3,11,5,1.5
180,4,13.3,3,1,62,2.7,16,29,2,52,5,1.1
472,4,14.0,9,1,62,2.7,8,29,2,52,5,1.1
426,3,13.3,3,1,38,2.4,4,4,2,52,5,1.5
237,5,15.6,3,1,45,2.6,8,26,0,1,5,2.2
239,5,15.6,3,1,60,2.7,8,16,3,62,5,2.0
453,0,14.0,9,1,62,2.7,16,29,2,52,5,1.4
120,1,17.3,3,1,66,2.8,8,10,3,14,5,3.0
123,1,17.3,3,1,66,2.8,16,18,3,15,5,3.0
3,3,15.6,0,1,53,1.6,12,10,3,36,5,2.2
564,1,17.3,3,1,66,2.8,8,16,3,15,5,2.7
201,3,15.6,3,1,62,2.7,8,16,0,97,2,2.3
264,4,15.6,3,0,11,3.0,4,16,0,73,5,1.9
438,3,15.6,3,1,70,1.8,8,16,0,102,5,2.1
440,3,14.0,3,1,46,2.5,8,16,2,52,5,1.9
242,5,15.6,14,1,66,2.8,8,16,3,62,5,1.8
472,4,14.0,9,1,62,2.7,16,12,2,52,5,1.1
401,3,15.6,0,1,22,1.1,4,10,2,42,5,2.2
76,1,17.3,3,1,66,2.8,16,18,3,14,5,2.9
438,3,15.6,3,1,53,1.6,8,18,0,102,5,2.1
